Text,Text1,Text2,Text3
$541,/ 1br - 575ft2 - ,"Business Center, New/Renovated Interior, Playground","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Master Card, Visa, & Discover Cards Accepted
-Central Air Conditioning
-Laundry Facility
-Tennis Courts
-Patrol Service
-Fitness Center
-Basketball Courts
-Bark Park
-Additional Storage
-Bike Storage
-Window Coverings
-Dishwasher

Call:  show contact info


For more information, visit us at: https://livewithm2.com/lpvmcex6/woodcrest-apartments

Pricing and availability are subject to change.
    "
$571,/ 1br - 640ft2 - ,"BBQ & Picnic Area, Washer/Dryer, New/Renovated Interior","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Bark Park
-Playground
-Preferred Employer & Student Discounts Available
-BBQ & Picnic Area
-Washer/Dryer
-Additional Storage
-Green Community
-Easy Access to ADM & CAT
-Easy Access to Interstates
-Master Card, Visa, & Discover Cards Accepted
-Tile Flooring
-Laundry Facility

Call:  show contact info


For more information, visit us at: https://livewithm2.com/rvzq64vs/woodcrest-apartments

Pricing and availability are subject to change.
    "
$550,/ 4br - ,Lease Takeover,"
        
            QR Code Link to This Post
            
        
1BR lease takeover 

140 E 12th Ave, Columbus, OH 43201-1806, United States

Hello I’m looking for someone to take over my place in a 4person apt on 140 E 12th Ave. The roommates are great (3girls if it matters) and my bedroom is the largest, the common space is spacious as well with a second fridge/bar area, the bathroom is a full. The bedroom you would take is the 11x15.25. Utilities are gas/electric/internet and are never more than $60/month. My number is  show contact info
. No tenant requirements and available NOW. Lease would end at the end of July unless you chose to renew, but the other three tenants will not be renewing.
    "
$425,/ 1br - 530ft2 - ,Apartment,"
        
            QR Code Link to This Post
            
        
Upstairs apartment quiet neighborhood in Avondale area. Freshly painted and remodeled. Proof of secure income. 425 deposit tenant pays all utilities Electric, water, sewer and garbage. No washer dryer in unit. Call or text for more info 
 show contact info

    "
$542,/ 1br - ,"Clean, Safe -- and Fun  Street !!","
        
            QR Code Link to This Post
            
        
Cozy. 
No lease. Furnished.
$ 600 to move in.

Nice private courtyard out back

Great big backyard.
Eat your lunch in the sunshine !
Fire up one of three Weber grills ... or the smoker.

In-room sink. Microwave, refrigerator freezer.
Always warm and toasty.
Unlimited hot water.
Great showers.

If you see this ad, a room is available.
If you see this ad, we are having a Sunday open house.
1:01 pm until 1:22 pm at 703 S. 5th Street.

We only show rooms Sunday.
Sorry !
We understand that may not work with your schedule, but we only show rooms on Sunday !!

Nice rooms available. Laundry 30 feet away, same floor.

Your locked room is quiet, cozy, and with a very comfortable mattress.
Fresh, clean and comfy linens.
Keep some emergency pizzas in your fridge/freezer.
Shared bathrooms and kitchen.

Pretty quiet, except a few nights at bar closing time on this hip and trendy street.
There is that.

Ten nearby cafes and bars and restaurants in a two block radius.
Great cook's kitchen - see photos - but sixteen great take-out places in a two block area.
Greek, Jamaican, pizza, Venezuelan, Mexican, ribs, Chinese, Indian, cheeseburgers !!
Two coffee shops with home made soups.

Locked private room near 5th and National.

No pets. Don't even bring a fish.
No previous evictions.

Just stop by to fill out an application at the Sunday open house.
You do not even have to tell us you are coming.
Apologies, but we like email only. Then it's easy to keep track of conversations.
So we won't be calling ya back. We WILL email you back.
COME VISIT ! Or email.

You will need an ID to copy and some documents that show you make money to pay the rent.

Furnished. All utilities included.
No extra costs.
Single occupancy. Just you in there.
No evictions, please.
Showers and bathtubs. Bring a rubber duckie.
They are never busy !

Most of our tenants have been here for over a year.
One guy has been here for 21 years. Another: 8 years !!

If you see this ad, your room is available.
If you see this ad, we are having a Sunday open house.
1:01 pm until 1:22 pm

Clean.
$ 600 to move in.
$ Then $ 125 a week, or $ 542 a month, as detailed above.
Nice windows look onto 5th street.


No lease.
Total move in cost $ 600 which includes security deposit.

Pay monthly if you get paid monthly.
Visit for details.

The No. 18 bus line is at the corner.
The Green Line is at the other corner.

That's an OPEN HOUSE EVERY SUNDAY IF YOU ARE READING THIS AD.
$ 628 a month. Furnished.
First week's rent and last week's rent and security deposit to move in, please.
( $ 600 move in total. )
Visit for payment options and details.
Please stay at least four weeks.

Apologies, but we like email only. Then it's easy to keep track of conversations.
So we won't be calling ya back. We WILL email you back.

Great kitchen, if you like to cook.
A microwave -- if ya don't.
    "
$571,/ 1br - 640ft2 - ,"Swimming Pool, Easy Access to Interstates, Easy Access to ADM & CAT","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-New/Renovated Interior
-Tile Flooring
-Central Air Conditioning
-Additional Storage
-Swimming Pool
-Green Community
-Window Coverings
-Washer/Dryer
-Conference Room
-Patrol Service
-Business Center
-Easy Access to ADM & CAT

Call:  show contact info


For more information, visit us at: https://livewithm2.com/mek3htmx/woodcrest-apartments

Pricing and availability are subject to change.
    "
$600,/ 2br - ,"Take a look at this Beautiful 2 Bedroom, 1.5 Bathroom Brick Ranch/Ramb","
        
            QR Code Link to This Post
            
        
2 bedrooms, 1.5 bath, 2-car attached garage. Gas fireplace in family room. Railing room divider between kitchen and the sunken family room provides a visually pleasing extended view. New kitchen cabinets (2022). Freshly painted living room, dining room, and kitchen, plus many updates in recent years. Finished basement with Radon Mitigation system. Move-in ready.
Updated Kitchen with Cherry Cabinets, 42"" Upper Cabinets, Soft Close Drawers, Pull-Out Shelves & Tile Countertops.  Large Living Room & Dining Room.  1st Floor Office/Bonus Room. Covered Front Porch Makes a Great 3-Seasons Room. Natural Woodwork & Taller Ceilings Throughout 1st Floor provide Character. Full Basement is Unfinished, but Provides Additional Rec Room Space & Storage Space. New Furnace in 2021. Hot Water Heater in 2018. Newer Vinyl Windows. Large 42 x 22 Parking Pad is at the Back of the Lot & Access from Alley
Take a look at this Beautiful 2 Bedroom, 1.5 Bathroom Brick Ranch/Rambler in East Rockford.  .61 acres on a corner lot, heated 2-car garage, with extra driveway parking. Full-partially finished basement with many bonus rooms! Oversized covered 3-seasons room overlooking the large backyard.   Wood burning fireplace (can easily be converted back to gas)  10x10 shed off the garage.   Wood floors in all bedrooms, living, dining and family room.  200 amp service/ 80 amp service in the garage  County taxes.    All appliances stay (gas and electric).  35 year single ply roof installed 12 years ago, HVAC 7 years old and whole house fan seperate from hvac,  Well pump and pressure tank.  Hot water heater is 7 years old,  April Air,    Attic has wood floor w/pull down ladder, ideal for storage.    Sump pump with back up system/battery and a tile system.
    "
$599,/ 600ft2 - ,1535 S Talbott St Apt 9,"
        
            QR Code Link to This Post
            
        
Studio ApartmentCall: show contact info
1535 S Talbott St Apt 9Indianapolis, Indiana 46225-1632United StatesRent: $599.00 USD / MonthSize: 600 SqFtProperty Type: ApartmentBedroom(s): 0 (Studio)  |  Bathroom(s): 1DescriptionCome check out this adorable studio apartment! Located on the south side of Indy just minutes from White River and downtown! This adorable studio is recently redone. Large open kitchen. Right around the corner from local shops. This studio would be great for a starter apartment or for someone looking to downsize! This home is not going to last long in this area! To schedule a showing call  show contact info
 By applying for eligible properties, Resident understands and agrees to auto-enrollment in the Utility & Maintenance Reduction Program at a cost of $10.95 per month without demand, payable with rent as outlined. Resident Liability Insurance is required. To schedule a showing call  show contact info
, for additional information call  show contact info
RestrictionsDogs: No DogsCats: No CatsSmoking: No SmokingFeatures / AmenitiesKitchenRefrigeratorContact InfoPMI MidwestLeasing Department    show contact info

    "
$500,/ 2br - 827ft2 - ,Discounted Rent For Help With Maintenance & Repairs,"
        
            QR Code Link to This Post
            
        
2 Bedroom 1 Bath Older Home In Need Of Maintenance & Repairs. 

Needs Updated Kitchen & Bath, Refinish Floors, Interior & Exterior Paint.

Looking For Tenant That Has Experience With Home Remodeling Skills. 

Must Have Tools & Experience, Must Have Job With Proof Of Income.

Option To Buy After Repairs Completed If Qualified With Good Credit.
    "
$485,/ 1br - 900ft2 - ,*1br - First floor 1BR Clean and MacDiggers Pub Area,"
        
            QR Code Link to This Post
            
        
Nice 1st-floor 1BR with additional small room great for guests or home office. Walking distance to Franklin , OH restaurants, walking and bike path. Clean and quiet area, large living room with wood floor. Updated kitchen with new stainless appliances. New flooring, new windows. New furnace and hot water heater. Private Driveway, covered porch and deep yard. No smoking.1-month security and first month rent to move in.
    "
